#Parameters = {BotGroundEdgeL=10; BotGroundReduction=10; BotGroundVIAn=4; SMAGndDist=6.64; SMAPinD=0.95; antBotSubstrateH1=1.575; antBotSubstrateH2=1.575; antBotSubstrateH3=1.575; antTopSubstrateH=0.254; c=299792458; coatingPadD=1; coaxL=2; coaxSPinD=0.8; coaxSSubstrateD=2.86; coaxXPinD=0.8; coaxXSubstrateD=2.86; copperH=0.035; edgeDistance=3.5; epsilion_r_feed=2.2; feedBotSubstrateH=0.254; feedTopSubstrateH=0.254; gndViaDist=2; lineW25=1; lineW45=0.35; lineW50=0.35; lineW80=0.1; microStripW=0.7; patchSeperation=11; quaterLambdaS=26.26500424389; quaterLambdaSExtra=1; quaterLambdaX=6.5447068809152; quaterLambdaXExtra=0.6; ratio=1.3; ratioTop=1.3; sFeedGndCutoutRadius=1.43; sFeedInputL=1; sFeedInputOffset=3.6666666666667; sFeedOffset=5.5; sFeedR=0.4; sFiltLineL=0; sFiltLineW=0.4; sFiltPadCutD=3; sFiltPadD=3; sPatchL=49.75; sPatchW=12; sSeperation=3; sShift180H=5; sShift180L=8.5; sShift90H1=3.3; sShift90H2=4; sShift90L1=37; sShift90L2=13.6; screwD=1.9; size=9.8; sizeTop=8.43; substrateSize=82; substrateSizeX=29; xABot=1.3; xCenter=8.65; xFeedGndCutoutRadius=1.43; xFeedInputOffset=4.8; xFeedOffset=5.5; xFeedR=0.4; xOffsetL=4.2391304347826; xOffsetLExtra=1; xOffsetW=2.2108695652174; xOffsetWExtra=1.75; xPatchCutoutR=0.4; xPatchCutoutW=0.05; xPatchL=11.078260869565; xPatchLTop=0.095295652173913; xPatchW=8.5217391304348; xPatchWTop=0.00073304347826087; xRatio=0.95; xShift180H=2; xShift180L=5; xShift90H=2; xShift90L=8.4}
#"Frequency / GHz"	"S2,1_1 [Magnitude in dB]"
#--------------------------------------------
2.9212501049042	-45.454401908555
2.9314999580383	-46.398458126916
2.9417500495911	-46.019807858974
2.9519999027252	-46.252145494988
2.9622499942780	-46.964212706346
2.9725000858307	-46.432643247569
2.9827499389648	-46.298272911987
2.9930000305176	-46.857654011161
3.0032498836517	-46.329562611637
3.0134999752045	-45.909928656467
3.0237500667572	-46.297320947167
3.0339999198914	-45.835319034009
3.0442500114441	-45.181915689735
3.0545001029968	-45.332731429513
3.0647499561310	-44.928266844528
3.0750000476837	-44.086159481196
3.0852499008179	-43.933224412494
3.0954999923706	-43.551921232536
3.1057500839233	-42.613762367036
3.1159999370575	-42.179162507755
3.1262500286102	-41.890565158111
3.1364998817444	-41.175811534699
3.1467499732971	-40.840149633196
3.1570000648499	-41.152567383322
3.1672499179840	-41.487687691778
3.1775000095367	-41.998080095056
3.1877501010895	-43.331894051385
3.1979999542236	-44.901901332810
3.2082500457764	-45.919627927675
3.2184998989105	-47.560189522760
3.2287499904633	-49.864736900580
3.2390000820160	-50.879459620250
3.2492499351501	-52.487597232293
3.2595000267029	-55.830691015703
3.2697501182556	-56.543083717872
3.2799999713898	-58.356589952476
3.2902500629425	-62.033464222212
3.3004999160767	-58.176196292260
3.3107500076294	-57.699938773280
3.3210000991821	-54.973181864520
3.3312499523163	-51.386586730006
3.3415000438690	-49.930493746808
3.3517498970032	-47.671131309310
3.3619999885559	-44.967986487704
3.3722500801086	-43.226844345027
3.3824999332428	-41.191401937284
3.3927500247955	-38.649521858223
3.4030001163483	-36.462890259461
3.4132499694824	-34.195977557736
3.4235000610352	-31.618481546168
3.4337499141693	-29.503606716652
3.4440000057220	-28.346424864985
3.4542500972748	-28.129135721832
3.4644999504089	-28.581119976851
3.4747500419617	-29.310002486100
3.4849998950958	-29.932457794397
3.4952499866486	-30.303702640363
3.5055000782013	-30.546807199182
3.5157499313354	-30.709721731025
