#Parameters = {BotGroundEdgeL=10; BotGroundReduction=10; BotGroundVIAn=4; SMAGndDist=6.64; SMAPinD=0.95; antBotSubstrateH1=1.575; antBotSubstrateH2=1.575; antBotSubstrateH3=1.575; antTopSubstrateH=0.254; c=299792458; coatingPadD=1; coaxL=2; coaxSPinD=0.8; coaxSSubstrateD=2.86; coaxXPinD=0.8; coaxXSubstrateD=2.86; copperH=0.035; edgeDistance=3.5; epsilion_r_feed=2.2; feedBotSubstrateH=0.254; feedTopSubstrateH=0.254; gndViaDist=2; lineW25=1; lineW45=0.35; lineW50=0.35; lineW80=0.1; microStripW=0.7; patchSeperation=11; quaterLambdaS=26.26500424389; quaterLambdaSExtra=1; quaterLambdaX=6.5447068809152; quaterLambdaXExtra=0.6; ratio=1.3; ratioTop=1.3; sFeedGndCutoutRadius=1.43; sFeedInputL=1; sFeedInputOffset=3.6666666666667; sFeedOffset=5.5; sFeedR=0.4; sFiltLineL=0; sFiltLineW=0.4; sFiltPadCutD=3; sFiltPadD=3; sPatchL=49.75; sPatchW=12; sSeperation=3; sShift180H=5; sShift180L=8.5; sShift90H1=3.3; sShift90H2=4; sShift90L1=37; sShift90L2=13.6; screwD=1.9; size=9.8; sizeTop=8.43; substrateSize=82; substrateSizeX=29; xABot=1.3; xCenter=8.65; xFeedGndCutoutRadius=1.43; xFeedInputOffset=4.8; xFeedOffset=5.5; xFeedR=0.4; xOffsetL=4.2391304347826; xOffsetLExtra=1; xOffsetW=2.2108695652174; xOffsetWExtra=1.75; xPatchCutoutR=0.4; xPatchCutoutW=0.05; xPatchL=11.078260869565; xPatchLTop=0.095295652173913; xPatchW=8.5217391304348; xPatchWTop=0.00073304347826087; xRatio=0.95; xShift180H=2; xShift180L=5; xShift90H=2; xShift90L=8.4}
#"Frequency / GHz"	"S2,1 [Magnitude in dB]"
#------------------------------------------
1.1582499742508	-37.235575780325
1.1684999465942	-37.682334381850
1.1787500381470	-38.787576714312
1.1890000104904	-40.018487406089
1.1992499828339	-40.100656479779
1.2094999551773	-40.711867089397
1.2197500467300	-42.323826324824
1.2300000190735	-42.398418907645
1.2402499914169	-42.558443135335
1.2504999637604	-44.926320353989
1.2607500553131	-45.292362485205
1.2710000276566	-44.543282448271
1.2812500000000	-46.981192309872
1.2914999723434	-44.997334781625
1.3017499446869	-42.556298919543
1.3120000362396	-43.982696782634
1.3222500085831	-41.513149725491
1.3324999809265	-38.582197050269
1.3427499532700	-39.831334771978
1.3530000448227	-35.544654101007
1.3632500171661	-29.483298545464
1.3734999895096	-26.901707727305
1.3837499618530	-27.306259118905
1.3940000534058	-31.127323220669
1.4042500257492	-42.525833715714
1.4144999980927	-40.992852358040
1.4247499704361	-35.863754731557
1.4349999427795	-33.551293298293
1.4452500343323	-31.273332863157
1.4555000066757	-30.766507010790
1.4657499790192	-32.727663744764
1.4759999513626	-36.138086615141
1.4862500429153	-36.735713752541
1.4965000152588	-36.831285264669
1.5067499876022	-39.287427379447
1.5169999599457	-41.320084272778
1.5272500514984	-41.014930406398
1.5375000238419	-42.818993160720
1.5477499961853	-47.033515951140
1.5579999685287	-48.105080265779
1.5682499408722	-50.306893417727
1.5785000324249	-60.701715866059
1.5887500047684	-47.088818593098
1.5989999771118	-42.412464141919
1.6092499494553	-40.919007704295
1.6195000410080	-41.317008829039
1.6297500133514	-43.332294685710
1.6399999856949	-46.624339708929
1.6502499580383	-48.606457702397
1.6605000495911	-47.528479862499
1.6707500219345	-47.139655443054
1.6809999942780	-47.962868309793
1.6912499666214	-46.820329581140
1.7015000581741	-44.906607384815
1.7117500305176	-44.542544649908
1.7220000028610	-43.473131142850
1.7322499752045	-41.146531831670
1.7424999475479	-39.858154438318
1.7527500391006	-37.947080089302
1.7630000114441	-34.516358172150
1.7732499837875	-32.191557159731
1.7834999561310	-31.922091828684
1.7937500476837	-33.799820217974
1.8040000200272	-37.359815895372
1.8142499923706	-39.940165459688
1.8244999647141	-40.882213695863
1.8347500562668	-42.882910251637
1.8450000286102	-44.191360028939
1.8552500009537	-44.164049955276
1.8654999732971	-45.481039219492
1.8757499456406	-46.866411489534
1.8860000371933	-47.118493007377
1.8962500095367	-49.319008992407
1.9064999818802	-55.536629902827
1.9167499542236	-57.231717356954
1.9270000457764	-49.333496211408
1.9372500181198	-44.567639452006
1.9474999904633	-42.547730855470
1.9577499628067	-42.570710029472
1.9680000543594	-43.059411198507
1.9782500267029	-42.793316159600
1.9884999990463	-42.851125150520
1.9987499713898	-43.096336663713
2.0090000629425	-42.293233433878
2.0192499160767	-41.469179161152
2.0295000076294	-41.175047721956
2.0397500991821	-40.649606342971
2.0499999523163	-40.162448814548
2.0602500438690	-40.466875308066
2.0704998970032	-41.337219003415
2.0807499885559	-42.380013279642
2.0910000801086	-44.302139879816
2.1012499332428	-47.827163960653
2.1115000247955	-51.022649631621
2.1217501163483	-51.837476332999
2.1319999694824	-51.720789369658
2.1422500610352	-49.411274265661
2.1524999141693	-47.870215178414
2.1627500057220	-47.443891862007
2.1730000972748	-46.428150192716
2.1832499504089	-45.442587603001
2.1935000419617	-45.246756541803
2.2037498950958	-44.765834627280
2.2139999866486	-43.909995557667
2.2242500782013	-43.607110659643
2.2344999313354	-43.338125676082
